Arriving City,Hotel Name,Rating,Price per Night (INR),Hotel Type
Delhi,Taj Palace,5,12000,Luxury
Mumbai,The Oberoi,4.9,10000,Luxury
Bangalore,The Leela Palace,4.8,9000,Business
Chennai,ITC Grand Chola,4.7,8500,Luxury
Hyderabad,Trident Hyderabad,4.6,7500,Business
Pune,JW Marriott Pune,4.5,7000,Luxury
Kolkata,The Lalit Great Eastern,4.4,6800,Heritage
Ahmedabad,Hyatt Regency,4.3,6500,Business
Chandigarh,Taj Chandigarh,4.2,6200,Luxury
Lucknow,Renaissance Lucknow,4.1,6000,Business
Goa,Taj Exotica,5,15000,Beach Resort
Jaipur,Rambagh Palace,4.9,14000,Heritage
Indore,Radisson Blu Indore,4.8,7000,Business
Coimbatore,Le Meridien Coimbatore,4.7,6500,Business
Nagpur,Radisson Blu Nagpur,4.6,6000,Business
Visakhapatnam,Novotel Beach Resort,4.5,8000,Beach Resort
Bhubaneswar,Mayfair Lagoon,4.4,7200,Luxury
Surat,The Grand Bhagwati,4.3,6800,Business
Patna,Lemon Tree Premier,4.2,6200,Business
Dehradun,Ramada Dehradun,4.1,6000,Business
Guwahati,Vivanta Guwahati,4,5800,Business
Raipur,Courtyard by Marriott,4.5,7200,Business
Ranchi,Radisson Blu Ranchi,4.4,7000,Business
Thiruvananthapuram,Taj Green Cove,4.9,14000,Beach Resort
Vadodara,Grand Mercure Vadodara,4.3,6700,Business
Ludhiana,Hyatt Regency Ludhiana,4.2,6400,Business
Mysore,Radisson Blu Mysore,4.8,7500,Heritage
Varanasi,BrijRama Palace,4.9,13000,Heritage
Mangalore,The Gateway Hotel,4.7,7200,Beach Resort
Jodhpur,Umaid Bhawan Palace,5,20000,Heritage
Udaipur,The Oberoi Udaivilas,5,25000,Luxury
Noida,Radisson Noida,4.4,7000,Business
Bhopal,Jehan Numa Palace,4.7,8000,Heritage
Jammu,Fortune Inn Riviera,4.3,6000,Business
Kanpur,The Landmark Towers,4.2,5800,Business
Agra,The Oberoi Amarvilas,5,20000,Luxury
Aurangabad,Vivanta Aurangabad,4.5,7500,Heritage
Dharamshala,Hyatt Regency Dharamshala,4.6,7800,Resort
Srinagar,The Lalit Grand Palace,4.9,15000,Luxury
Shillong,Ri Kynjai Resort,4.7,9000,Nature Retreat
Gwalior,Taj Usha Kiran Palace,4.8,8500,Heritage
Pondicherry,Le Pondy Resort,4.7,12000,Beach Resort
Madurai,The Gateway Hotel,4.5,7000,Heritage
Nashik,The Gateway Nashik,4.4,6800,Business
Rajkot,Fortune Park JPS Grand,4.2,6200,Business
Meerut,Godwin Hotel Meerut,4.1,5800,Business
Amritsar,Taj Swarna Amritsar,4.8,8000,Heritage
Jabalpur,Vijan Mahal,4.5,7500,Business
Tirupati,Marasa Sarovar Premiere,4.4,7000,Pilgrimage Stay
Bareilly,Hotel Swarn Towers,4.2,6000,Business
Kozhikode,The Raviz Calicut,4.5,7200,Business
Haridwar,Haveli Hari Ganga,4.7,8500,Pilgrimage Stay
Ajmer,The Royal Melange Ajmer,4.3,6200,Pilgrimage Stay
Siliguri,Sinclairs Siliguri,4.2,5800,Business
